SOLAR,WIND,LOAD_E
0.0,1.0,0.606214
0.0,0.821264,0.616485
0.0,0.646565,0.632141
0.0,0.433919,0.652407
0.0,0.247557,0.680287
0.0,0.132259,0.715516
0.0,0.079819,0.748963
0.0,0.017969,0.772147
0.0,0.001127,0.785306
0.0,0.0,0.78177
0.0,0.0,0.767145
0.049379,0.0,0.74448
0.162659,0.0,0.708328
0.243988,0.0,0.685478
0.274487,0.0,0.687104
0.286105,0.005434,0.715495
0.20768,0.042158,0.766111
0.078425,0.068435,0.832427
0.008714,0.108672,0.885072
0.0,0.196384,0.902257
0.0,0.278468,0.883281
0.0,0.39215,0.830452
0.0,0.465503,0.766866
0.0,0.48517,0.705167
0.0,0.505383,0.529431
0.0,0.646565,0.540857
0.0,0.774964,0.557125
0.0,0.879215,0.578689
0.0,1.0,0.604534
0.0,0.992421,0.633479
0.0,0.840289,0.660046
0.0,0.899121,0.679836
0.0,0.889131,0.686429
0.0,0.730437,0.677212
0.0,0.739202,0.66039
0.011618,0.721741,0.636303
0.026142,0.440118,0.614132
0.039212,0.380729,0.601408
0.095852,0.273903,0.605644
0.158302,0.297235,0.628958
0.106019,0.278468,0.67159
0.047926,0.269388,0.720361
0.008714,0.375102,0.762442
0.0,0.519165,0.778677
0.0,0.622719,0.761606
0.0,0.646565,0.718014
0.0,0.730437,0.660614
0.0,0.765917,0.605795
0.0,0.662797,0.52134
0.0,0.889131,0.530162
0.0,1.0,0.546129
0.0,0.879215,0.567278
0.0,0.607152,0.592612
0.0,0.491846,0.619295
0.0,0.380729,0.644103
0.0,0.433919,0.660405
0.0,0.505383,0.66496
0.0,0.533196,0.660214
0.0,0.478554,0.643218
0.017428,0.440118,0.62144
0.043569,0.337261,0.602535
0.124899,0.326938,0.592748
0.153945,0.175362,0.599106
0.181539,0.226938,0.625021
0.142326,0.505383,0.669852
0.068259,0.687649,0.722482
0.007262,0.869373,0.763979
0.0,1.0,0.778098
0.0,1.0,0.761739
0.0,1.0,0.722756
0.0,1.0,0.667416
0.0,1.0,0.612602
0.0,1.0,0.607086
0.0,1.0,0.620192
0.0,0.84991,0.641169
0.0,0.533196,0.66779
0.0,0.409706,0.698871
0.0,0.440118,0.731669
0.0,0.196384,0.76098
0.0,0.07784,0.781683
0.0,0.034809,0.788556
0.0,0.012685,0.782884
0.0,0.003935,0.762751
0.020332,0.000722,0.734278
0.100209,0.000562,0.705496
0.101662,0.001376,0.688987
0.140874,0.016532,0.692558
0.120542,0.026412,0.71986
0.079877,0.013893,0.767936
0.039212,0.014524,0.827516
0.004357,0.027378,0.875052
0.0,0.047591,0.892866
0.0,0.066649,0.872487
0.0,0.124053,0.829372
0.0,0.172011,0.763775
0.0,0.172011,0.701044
0.0,0.200043,0.604408
0.0,0.182193,0.615773
0.0,0.137927,0.633726
0.0,0.1892,0.660067
0.0,0.239166,0.69206
0.0,0.226938,0.72849
0.0,0.196384,0.760408
0.0,0.196384,0.784608
0.0,0.172011,0.794346
0.0,0.175362,0.784405
0.0,0.1892,0.766976
0.05664,0.1892,0.739021
0.155397,0.129485,0.708164
0.190253,0.061481,0.689719
0.152493,0.035969,0.691386
0.072615,0.050475,0.72196
0.068259,0.068435,0.772316
0.050831,0.066649,0.829931
0.005809,0.079819,0.878408
0.0,0.099159,0.896287
0.0,0.111141,0.87905
0.0,0.08807,0.828736
0.0,0.068435,0.763189
0.0,0.063173,0.702432
0.0,0.038366,0.606703
0.0,0.042158,0.619239
0.0,0.039603,0.63845
0.0,0.050475,0.665571
0.0,0.042158,0.696553
0.0,0.040867,0.731217
0.0,0.031478,0.76051
0.0,0.025468,0.782606
0.0,0.030417,0.792324
0.0,0.053472,0.787321
0.0,0.042158,0.769135
0.024689,0.02192,0.742432
0.058092,0.006495,0.716591
0.091496,0.00234,0.70304
0.140874,0.004209,0.707397
0.121994,0.003673,0.736684
0.076972,0.007685,0.789489
0.058092,0.021088,0.850678
0.008714,0.040867,0.902727
0.0,0.0721,0.923545
0.0,0.075894,0.90732
0.0,0.070251,0.852355
0.0,0.081831,0.787056
0.0,0.111141,0.724359
0.0,0.113648,0.626153
0.0,0.08807,0.640182
0.0,0.085956,0.657664
0.0,0.121394,0.679493
0.0,0.1892,0.706067
0.0,0.230967,0.735908
0.0,0.283084,0.76402
0.0,0.39215,0.784807
0.0,0.427779,0.792419
0.0,0.646565,0.786009
0.0,0.793269,0.766485
0.034855,0.784081,0.736559
0.078425,0.774964,0.708343
0.05664,1.0,0.694304
0.049379,1.0,0.700477
0.030499,1.0,0.730787
0.017428,1.0,0.786027
0.007262,1.0,0.851544
0.001452,0.765917,0.897187
0.0,1.0,0.900626
0.0,1.0,0.876859
0.0,1.0,0.827429
0.0,1.0,0.764081
0.0,1.0,0.703252
0.0,1.0,0.607947
0.0,1.0,0.620506
0.0,1.0,0.639174
0.0,1.0,0.663313
0.0,1.0,0.692937
0.0,1.0,0.725462
0.0,1.0,0.755892
0.0,1.0,0.777863
0.0,1.0,0.786117
0.0,1.0,0.776249
0.0,0.662797,0.756966
0.060997,0.433919,0.731337
0.175729,0.316827,0.70393
0.26432,0.247557,0.688706
0.303533,0.135073,0.692908
0.268677,0.068435,0.722219
0.197514,0.090218,0.772593
0.107471,0.132259,0.836344
0.01888,0.165438,0.89002
0.0,0.207498,0.91635
0.0,0.311851,0.901893
0.0,0.311851,0.852547
0.0,0.302055,0.787932
0.0,0.306927,0.725164
0.0,0.302055,0.544379
0.0,0.155896,0.554614
0.0,0.14082,0.568748
0.0,0.129485,0.588133
0.0,0.175362,0.611664
0.0,0.222957,0.637505
0.0,0.207498,0.660662
0.0,0.283084,0.678026
0.0,0.321856,0.685219
0.0,0.380729,0.679069
0.0,0.421697,0.66399
0.042117,0.397945,0.639204
0.117637,0.321856,0.613591
0.164111,0.149743,0.599229
0.210585,0.124053,0.603439
0.164111,0.230967,0.62781
0.120542,0.222957,0.669742
0.085686,0.273903,0.72037
0.008714,0.326938,0.761049
0.0,0.446375,0.776542
0.0,0.591846,0.760918
0.0,0.713115,0.718686
0.0,0.879215,0.662448
0.0,0.899121,0.609714
0.0,1.0,0.525631
0.0,1.0,0.535514
0.0,1.0,0.549614
0.0,1.0,0.567229
0.0,1.0,0.589825
0.0,1.0,0.616379
0.0,1.0,0.642857
0.0,0.960637,0.664627
0.0,0.869373,0.672925
0.0,1.0,0.67178
0.0,1.0,0.658672
0.058092,1.0,0.635218
0.15104,0.879215,0.612523
0.265773,1.0,0.597082
0.309342,1.0,0.600715
0.267225,0.721741,0.626122
0.206228,0.98175,0.668556
0.100209,0.679297,0.71843
0.015975,0.547477,0.763214
0.0,0.403797,0.780897
0.0,0.358556,0.767278
0.0,0.283084,0.723361
0.0,0.273903,0.667366
0.0,0.316827,0.616468
0.0,0.679297,0.612519
0.0,0.646565,0.624036
0.0,0.452692,0.643383
0.0,0.358556,0.669488
0.0,0.251825,0.701903
0.0,0.1892,0.734183
0.0,0.200043,0.764963
0.0,0.311851,0.787181
0.0,0.364016,0.796235
0.0,0.256142,0.793308
0.0,0.446375,0.772916
0.034855,0.519165,0.740784
0.049379,0.505383,0.713712
0.062449,0.440118,0.696429
0.040665,0.311851,0.70581
0.031951,0.243338,0.738352
0.050831,0.159035,0.787716
0.046474,0.118774,0.842656
0.010166,0.200043,0.888613
0.0,0.321856,0.905867
0.0,0.427779,0.885203
0.0,0.446375,0.832261
0.0,0.533196,0.767836
0.0,0.554712,0.707987
0.0,0.264924,0.611442
0.0,0.215135,0.622938
0.0,0.162215,0.640514
0.0,0.200043,0.665306
0.0,0.278468,0.696277
0.0,0.380729,0.728299
0.0,0.459068,0.75679
0.0,0.403797,0.77738
0.0,0.421697,0.786339
0.0,0.465503,0.780687
0.0,0.491846,0.760609
0.03776,0.519165,0.732206
0.135065,0.63855,0.70477
0.167016,0.84991,0.68953
0.140874,0.704557,0.698837
0.137969,0.859605,0.72974
0.178634,1.0,0.779927
0.076972,1.0,0.841933
0.01888,1.0,0.893499
0.0,0.919325,0.913317
0.0,0.748037,0.894099
0.0,0.704557,0.841407
0.0,0.730437,0.776965
0.0,0.696069,0.715731
0.0,0.671013,0.61534
0.0,1.0,0.624653
0.0,1.0,0.640537
0.0,1.0,0.663523
0.0,1.0,0.691899
0.0,1.0,0.725035
0.0,1.0,0.756132
0.0,0.774964,0.77811
0.0,0.519165,0.786367
0.0,0.321856,0.778605
0.001452,0.222957,0.762008
0.053735,0.251825,0.734882
0.123446,0.103843,0.706077
0.210585,0.066649,0.691446
0.290462,0.070251,0.696313
0.161206,0.222957,0.733092
0.175729,0.269388,0.782801
0.090043,0.427779,0.845786
0.023237,0.321856,0.897567
0.0,0.203748,0.919932
0.0,0.1892,0.902984
0.0,0.211293,0.853576
0.0,0.219023,0.79028
0.0,0.269388,0.728607
